trade_date,close
2021-09-22,3.0693082807936145
2021-09-23,3.0676527050713296
2021-09-24,3.069218514157502
2021-09-27,3.0692187317885926
2021-09-28,3.0885326366104113
2021-09-29,3.0780031257412652
2021-09-30,3.0800052468821244
2021-10-08,3.0792227213855576
2021-10-11,3.0792229355152285
2021-10-12,3.079223155149609
2021-10-13,3.079223375840621
2021-10-14,3.0888803215257634
2021-10-15,3.0787874945489677
2021-10-18,3.070350095204389
2021-10-19,3.070003924390874
2021-10-20,3.0595646309213214
2021-10-21,3.0503444370727526
2021-10-22,3.0306844568363562
2021-10-25,3.0404317276448087
2021-10-26,3.0480869443720313
2021-10-27,3.038776609828608
2021-10-28,3.039996167232526
2021-10-29,3.039213554242881
2021-11-01,3.0488705519619357
2021-11-02,3.038777541203934
2021-11-03,3.049653641259928
2021-11-04,3.0387782038813445
2021-11-05,3.039997355273759
2021-11-08,3.019901683257639
2021-11-09,2.9918033614709594
2021-11-10,3.010861477285593
2021-11-11,2.988328515435742
2021-11-12,2.9811089388820986
2021-11-15,2.9896364725609574
2021-11-16,2.9884180310161157
2021-11-17,3.0181702407935203
2021-11-18,3.0168629978015913
2021-11-19,3.0385236486144347
2021-11-22,3.0183403307983014
2021-11-23,3.0304311860663304
2021-11-24,3.028432448607298
2021-11-25,3.009902350381451
2021-11-26,3.039740209184776
2021-11-29,3.0175615646112073
2021-11-30,3.0207758211136144
2021-12-01,3.0288678247874157
2021-12-02,3.0187783517970903
2021-12-03,3.019994738286923
2021-12-06,3.009557650678315
2021-12-07,3.019647366423434
2021-12-08,2.999121264316954
2021-12-09,3.029735365515107
2021-12-10,3.0558374121729712
2021-12-13,3.047225083738485
2021-12-14,3.0596605850090723
2021-12-15,3.058445054729927
2021-12-16,3.0881928022103566
2021-12-17,3.0965471575333936
2021-12-20,3.088802680094332
2021-12-21,3.0996739317699884
2021-12-22,3.098458563165057
2021-12-23,3.0606191198275856
2021-12-24,3.0623558703330422
2021-12-27,3.049573234425537
2021-12-28,3.0693177875393123
2021-12-29,3.048359005901425
2021-12-30,3.070098242774619
2021-12-31,3.048361243981893
2022-01-04,3.0507886430665443
2022-01-05,3.0588813053460715
2022-01-06,3.0584489016293026
2022-01-07,3.049575710421791
2022-01-10,3.0693174440495112
2022-01-11,3.0773258048629946
2022-01-12,3.0784557967940467
2022-01-13,3.0695826503202546
2022-01-14,3.0603610158405763
2022-01-17,3.050358062496671
2022-01-18,3.0596645485878047
2022-01-19,3.0584506777112366
2022-01-20,3.0592321540652865
2022-01-21,3.0785416098709333
2022-01-24,3.0583673443331425
2022-01-25,3.0704493078626
2022-01-26,3.058800801337283
2022-01-27,3.0600142061831224
2022-01-28,3.0495791920588813
2022-02-07,3.050011527648498
2022-02-08,3.068539207519211
2022-02-09,3.0387132442514027
2022-02-10,3.0415713262648123
2022-02-11,3.039228345147817
2022-02-14,3.0392285569856634
2022-02-15,3.02957490173074
2022-02-16,3.039660773539912
2022-02-17,3.038448143654616
2022-02-18,3.068190871979178
2022-02-21,3.05724246556583
2022-02-22,3.0600167179560076
2022-02-23,3.0592361121018885
2022-02-24,3.0688899882776073
2022-02-25,3.058805129500782
2022-02-28,3.060017540375132
2022-03-01,3.0592369419851466
2022-03-02,3.068890757434653
2022-03-03,3.0781132681471934
2022-03-04,3.0784628457176573
2022-03-07,3.069590159152938
2022-03-08,3.0603681264327065
2022-03-09,3.0503651946444443
2022-03-10,3.059669941835748
2022-03-11,3.048804141076242
2022-03-14,3.059670130968725
2022-03-15,3.0584582988271043
2022-03-16,3.068892856335118
2022-03-17,3.0588082282522295
