,0
0,1344.130005
1,1336.290039
2,1317.969971
3,1318.47998
4,1335.420044
5,1335.530029
6,1307.579956
7,1310.51001
8,1280.410034
9,1277.359985
10,1283.310059
11,1282.199951
12,1268.369995
13,1282.709961
14,1282.810059
15,1304.599976
16,1301.349976
17,1325.400024
18,1317.640015
19,1336.02002
20,1335.209961
21,1313.040039
22,1285.550049
23,1283.420044
24,1247.410034
25,1254.130005
26,1261.319946
27,1289.430054
28,1283.609985
29,1301.650024
30,1293.630005
31,1281.910034
32,1296.709961
33,1342.439941
34,1362.930054
35,1354.119995
36,1347.73999
37,1354.930054
38,1362.640015
39,1370.22998
40,1377.01001
41,1365.280029
42,1373.459961
43,1381.459961
44,1396.060059
45,1394.390015
46,1420.069946
47,1410.709961
48,1424.939941
49,1422.0
50,1420.939941
51,1404.640015
52,1417.079956
53,1416.619995
54,1407.829956
55,1388.910034
56,1397.719971
57,1409.040039
58,1433.300049
59,1423.329956
60,1409.170044
61,1403.880005
62,1408.109985
63,1417.040039
64,1415.219971
65,1403.170044
66,1413.329956
67,1418.780029
68,1421.030029
69,1418.089966
70,1433.430054
71,1436.130005
72,1458.339966
73,1457.099976
74,1457.660034
75,1463.459961
76,1464.469971
77,1469.25
78,1455.219971
79,1399.420044
80,1402.109985
81,1403.449951
82,1441.469971
83,1457.599976
84,1438.560059
85,1432.25
86,1449.680054
87,1465.150024
88,1455.140015
89,1455.900024
90,1445.569946
91,1441.359985
92,1401.530029
93,1410.030029
94,1404.089966
95,1398.560059
96,1360.160034
97,1394.459961
98,1409.280029
99,1409.119995
100,1424.969971
101,1424.369995
102,1424.23999
103,1441.719971
104,1411.709961
105,1416.829956
106,1387.119995
107,1389.939941
108,1402.050049
109,1387.670044
110,1388.26001
111,1346.089966
112,1352.170044
113,1360.689941
114,1353.430054
115,1333.359985
116,1348.050049
117,1366.420044
118,1379.189941
119,1381.76001
120,1409.170044
121,1391.280029
122,1355.619995
123,1366.699951
124,1401.689941
125,1395.069946
126,1383.619995
127,1359.150024
128,1392.140015
129,1458.469971
130,1464.469971
131,1456.630005
132,1493.869995
133,1500.640015
134,1527.349976
135,1527.459961
136,1523.859985
137,1507.72998
138,1508.52002
139,1487.920044
140,1498.579956
141,1505.969971
142,1494.72998
143,1487.369995
144,1501.339966
145,1516.349976
146,1504.459961
147,1500.589966
148,1467.170044
149,1440.51001
150,1356.560059
151,1401.439941
152,1441.609985
153,1427.469971
154,1434.540039
155,1429.859985
156,1477.439941
157,1460.98999
158,1464.920044
159,1452.430054
160,1468.25
161,1446.290039
162,1415.099976
163,1409.569946
164,1432.630005
165,1424.170044
166,1412.140015
167,1383.050049
168,1407.810059
169,1420.959961
170,1452.359985
171,1466.040039
172,1447.800049
173,1437.209961
174,1406.949951
175,1400.719971
176,1373.859985
177,1399.050049
178,1381.52002
179,1378.02002
180,1422.449951
181,1420.599976
182,1448.810059
183,1477.26001
184,1467.630005
185,1457.839966
186,1471.359985
187,1461.670044
188,1456.949951
189,1446.0
190,1469.439941
191,1470.540039
192,1478.72998
193,1464.459961
194,1486.0
195,1475.949951
196,1479.130005
197,1452.180054
198,1441.47998
199,1455.310059
200,1450.550049
201,1454.819946
202,1442.390015
203,1454.599976
204,1469.540039
205,1446.22998
206,1456.670044
207,1478.900024
208,1475.619995
209,1480.880005
210,1492.920044
211,1495.839966
212,1509.97998
213,1510.48999
214,1493.73999
215,1481.959961
216,1495.569946
217,1480.189941
218,1464.290039
219,1474.469971
220,1452.420044
221,1449.619995
222,1419.890015
223,1430.829956
224,1438.099976
225,1438.699951
226,1452.560059
227,1462.930054
228,1479.319946
229,1482.800049
230,1472.869995
231,1460.25
232,1471.839966
233,1491.560059
234,1484.430054
235,1479.849976
236,1496.069946
237,1491.719971
238,1499.47998
239,1498.130005
240,1505.969971
241,1508.310059
242,1506.449951
243,1514.089966
244,1509.839966
245,1502.589966
246,1517.680054
247,1520.77002
248,1507.079956
249,1492.25
250,1502.51001
251,1494.5
252,1489.26001
253,1481.98999
254,1484.910034
255,1480.869995
256,1465.810059
257,1444.51001
258,1459.900024
259,1451.339966
260,1449.050049
261,1448.719971
262,1439.030029
263,1427.209961
264,1426.569946
265,1458.290039
266,1436.51001
267,1436.22998
268,1426.459961
269,1434.319946
270,1436.280029
271,1408.98999
272,1402.030029
273,1387.02002
274,1364.589966
275,1329.780029
276,1374.170044
277,1374.619995
278,1349.969971
279,1342.130005
280,1388.76001
281,1396.930054
282,1395.780029
283,1398.130005
284,1364.900024
285,1364.439941
286,1379.579956
287,1398.660034
288,1429.400024
289,1421.219971
290,1428.319946
291,1426.689941
292,1432.189941
293,1431.869995
294,1409.280029
295,1400.140015
296,1365.97998
297,1351.26001
298,1382.949951
299,1389.810059
300,1372.319946
301,1367.719971
302,1342.619995
303,1347.349976
304,1322.359985
305,1341.77002
306,1348.969971
307,1336.089966
308,1341.930054
309,1314.949951
310,1315.22998
311,1324.969971
312,1376.540039
313,1351.459961
314,1343.550049
315,1369.890015
316,1380.199951
317,1371.180054
318,1359.98999
319,1340.930054
320,1312.150024
321,1322.73999
322,1305.599976
323,1264.73999
324,1274.859985
325,1305.949951
326,1315.189941
327,1328.920044
328,1334.219971
329,1320.280029
330,1283.27002
331,1347.560059
332,1333.339966
333,1298.349976
334,1295.859985
335,1300.800049
336,1313.27002
337,1326.819946
338,1318.550049
339,1326.650024
340,1329.469971
341,1347.969971
342,1342.540039
343,1342.900024
344,1360.400024
345,1364.300049
346,1357.51001
347,1354.949951
348,1364.170044
349,1373.72998
350,1366.01001
351,1373.469971
352,1349.469971
353,1354.310059
354,1352.26001
355,1340.890015
356,1332.530029
357,1314.76001
358,1330.310059
359,1318.800049
360,1315.920044
361,1326.609985
362,1301.530029
363,1278.939941
364,1255.27002
365,1252.819946
366,1245.859985
367,1267.650024
368,1257.939941
369,1239.939941
370,1241.22998
371,1234.180054
372,1241.410034
373,1253.800049
374,1261.890015
375,1264.73999
376,1233.420044
377,1180.160034
378,1197.660034
379,1166.709961
380,1173.560059
381,1150.530029
382,1170.810059
383,1142.619995
384,1122.140015
385,1117.579956
386,1139.829956
387,1152.689941
388,1182.170044
389,1153.290039
390,1147.949951
391,1160.329956
392,1145.869995
393,1106.459961
394,1103.25
395,1151.439941
396,1128.430054
397,1137.589966
398,1168.380005
399,1165.890015
400,1183.5
401,1179.680054
402,1191.810059
403,1238.160034
404,1253.689941
405,1242.97998
406,1224.359985
407,1209.469971
408,1228.75
409,1234.52002
410,1253.050049
411,1249.459961
412,1266.439941
413,1267.430054
414,1248.579956
415,1266.609985
416,1263.51001
417,1261.199951
418,1255.540039
419,1255.180054
420,1245.670044
421,1248.920044
422,1249.439941
423,1284.98999
424,1288.48999
425,1291.959961
426,1312.829956
427,1309.380005
428,1289.050049
429,1293.170044
430,1277.890015
431,1267.930054
432,1248.079956
433,1255.819946
434,1260.670044
435,1267.109985
436,1283.569946
437,1270.030029
438,1276.959961
439,1264.959961
440,1254.390015
441,1255.849976
442,1241.599976
443,1219.869995
444,1214.359985
445,1208.430054
446,1212.579956
447,1223.140015
448,1237.040039
449,1225.349976
450,1218.599976
451,1216.76001
452,1211.069946
453,1226.199951
454,1224.380005
455,1236.719971
456,1234.449951
457,1219.23999
458,1190.589966
459,1198.780029
460,1181.52002
461,1180.180054
462,1208.140015
463,1215.680054
464,1202.449951
465,1214.439941
466,1207.709961
467,1215.02002
468,1210.849976
469,1191.030029
470,1171.650024
471,1190.48999
472,1202.930054
473,1205.819946
474,1204.52002
475,1211.22998
476,1215.930054
477,1220.75
478,1214.349976
479,1200.47998
480,1204.400024
481,1183.530029
482,1183.430054
483,1190.160034
484,1191.290039
485,1186.72998
486,1178.02002
487,1181.660034
488,1161.969971
489,1171.410034
490,1157.26001
491,1165.310059
492,1162.089966
493,1184.930054
494,1179.209961
495,1161.51001
496,1148.560059
497,1129.030029
498,1133.579956
499,1132.939941
500,1131.73999
501,1106.400024
502,1085.780029
503,1092.540039
504,1038.77002
505,1032.73999
506,1016.099976
507,984.5399779999999
508,965.7999880000001
509,1003.4500119999999
510,1012.2700199999999
511,1007.0399779999999
512,1018.6099849999999
513,1040.939941
514,1038.550049
515,1051.329956
516,1072.280029
517,1069.630005
518,1071.380005
519,1062.439941
520,1056.75
521,1080.98999
522,1097.430054
523,1091.650024
524,1089.97998
525,1097.540039
526,1077.089966
527,1068.609985
528,1073.47998
529,1089.900024
530,1084.780029
531,1085.199951
532,1100.089966
533,1104.609985
534,1078.300049
535,1059.790039
536,1059.780029
537,1084.099976
538,1087.199951
539,1102.839966
540,1118.859985
541,1115.800049
542,1118.540039
543,1120.310059
544,1118.329956
545,1139.089966
546,1141.209961
547,1142.23999
548,1138.650024
549,1151.060059
550,1142.660034
551,1137.030029
552,1150.339966
553,1157.420044
554,1149.5
555,1128.52002
556,1140.199951
557,1139.449951
558,1129.900024
559,1144.800049
560,1170.349976
561,1167.099976
562,1158.310059
563,1139.930054
564,1136.76001
565,1137.069946
566,1119.380005
567,1123.089966
568,1134.359985
569,1142.920044
570,1149.560059
571,1139.930054
572,1144.890015
573,1144.650024
574,1149.369995
575,1157.130005
576,1161.02002
577,1148.079956
578,1154.670044
579,1165.27002
580,1172.51001
581,1164.890015
582,1160.709961
583,1155.140015
584,1156.550049
585,1145.599976
586,1138.410034
587,1146.189941
588,1127.569946
589,1138.880005
590,1127.579956
591,1119.310059
592,1128.180054
593,1132.150024
594,1133.280029
595,1133.060059
596,1100.640015
597,1113.569946
598,1130.199951
599,1122.199951
600,1094.439941
601,1090.02002
602,1083.51001
603,1080.170044
604,1096.219971
605,1111.939941
606,1107.5
607,1118.51001
608,1116.47998
609,1104.180054
610,1083.339966
611,1097.97998
612,1080.949951
613,1089.839966
614,1109.430054
615,1109.380005
616,1109.890015
617,1106.72998
618,1131.780029
619,1153.839966
620,1146.140015
621,1162.77002
622,1157.540039
623,1164.310059
624,1168.26001
625,1165.579956
626,1154.089966
627,1153.040039
628,1166.160034
629,1165.550049
630,1170.290039
631,1151.849976
632,1153.589966
633,1148.699951
634,1131.869995
635,1138.48999
636,1144.579956
637,1147.390015
638,1146.540039
639,1136.76001
640,1125.400024
641,1126.339966
642,1122.72998
643,1125.290039
644,1117.800049
645,1130.469971
646,1103.689941
647,1111.01001
648,1102.550049
649,1128.369995
650,1126.069946
651,1124.469971
652,1125.170044
653,1107.829956
654,1100.959961
655,1093.140015
656,1091.47998
657,1076.319946
658,1065.449951
659,1076.920044
660,1086.459961
661,1084.560059
662,1073.430054
663,1052.670044
664,1049.48999
665,1088.849976
666,1073.01001
667,1054.98999
668,1074.560059
669,1097.280029
670,1091.069946
671,1098.22998
672,1106.589966
673,1091.880005
674,1079.880005
675,1086.02002
676,1097.079956
677,1083.819946
678,1074.550049
679,1067.660034
680,1064.660034
681,1067.140015
682,1040.680054
683,1040.689941
684,1049.900024
685,1029.150024
686,1027.530029
687,1030.73999
688,1013.599976
689,1020.26001
690,1009.5599980000001
691,1007.2700199999999
692,1036.170044
693,1037.140015
694,1019.98999
695,1006.2899779999999
696,989.1400150000001
697,992.7199710000001
698,976.1400150000001
699,973.5300289999999
700,990.6400150000001
701,989.820007
702,968.650024
703,948.090027
704,953.98999
705,989.0300289999999
706,976.9799800000001
707,952.830017
708,920.4699710000001
709,927.3699949999999
710,921.3900150000001
711,917.929993
712,900.9400019999999
713,906.0399779999999
714,881.5599980000001
715,847.75
716,819.849976
717,797.700012
718,843.429993
719,838.679993
720,852.840027
721,898.9600220000001
722,902.7800289999999
723,911.6199949999999
724,884.659973
725,864.23999
726,834.599976
727,859.570007
728,876.7700199999999
729,905.4600220000001
730,908.6400150000001
731,903.7999880000001
732,884.2100220000001
733,919.6199949999999
734,930.25
735,928.7700199999999
736,950.7000119999999
737,937.429993
738,949.3599849999999
739,962.7000119999999
740,940.8599849999999
741,947.9500119999999
742,934.820007
743,917.8699949999999
744,917.7999880000001
745,916.070007
746,878.0200199999999
747,893.400024
748,879.150024
749,893.919983
750,902.9600220000001
751,909.580017
752,909.4500119999999
753,886.909973
754,889.8099980000001
755,891.099976
756,873.5200199999999
757,869.4600220000001
758,843.320007
759,845.3900150000001
760,833.700012
761,819.289978
762,839.659973
763,854.9500119999999
764,827.369995
765,815.280029
766,847.909973
767,827.909973
768,818.950012
769,800.580017
770,785.280029
771,798.549988
772,776.76001
773,803.919983
774,835.320007
775,841.4400019999999
776,881.2700199999999
777,860.0200199999999
778,879.2000119999999
779,884.3900150000001
780,899.7199710000001
781,890.159973
782,896.1400150000001
783,882.5
784,897.650024
785,890.2299800000001
786,882.150024
787,890.7100220000001
788,885.76001
789,900.9600220000001
790,908.349976
791,915.3900150000001
792,923.76001
793,902.650024
794,894.73999
795,876.1900019999999
796,882.9500119999999
797,882.5300289999999
798,904.2700199999999
799,909.830017
800,900.3599849999999
801,896.73999
802,914.150024
803,933.76001
804,930.5499880000001
805,932.8699949999999
806,913.3099980000001
807,938.8699949999999
808,936.3099980000001
809,934.5300289999999
810,920.75
811,917.580017
812,906.5499880000001
813,912.2299800000001
814,892.0
815,904.4500119999999
816,904.9600220000001
817,901.580017
818,889.4799800000001
819,910.400024
820,902.98999
821,891.1199949999999
822,884.25
823,895.76001
824,897.3800050000001
825,892.4699710000001
826,889.659973
827,875.400024
828,879.3900150000001
829,879.820007
830,909.0300289999999
831,908.590027
832,929.01001
833,922.929993
834,909.929993
835,927.570007
836,927.570007
837,926.26001
838,931.659973
839,918.2199710000001
840,914.599976
841,901.7800289999999
842,887.6199949999999
843,878.3599849999999
844,887.340027
845,861.400024
846,847.4799800000001
847,858.5399779999999
848,864.3599849999999
849,844.6099849999999
850,855.7000119999999
851,860.320007
852,848.2000119999999
853,843.590027
854,838.150024
855,829.6900019999999
856,835.969971
857,829.200012
858,818.679993
859,817.369995
860,834.8900150000001
861,851.169983
862,845.1300050000001
863,837.099976
864,848.169983
865,832.580017
866,838.570007
867,827.549988
868,837.280029
869,841.150024
870,834.8099980000001
871,821.98999
872,829.849976
873,822.099976
874,828.8900150000001
875,807.47998
876,800.72998
877,804.1900019999999
878,831.900024
879,833.27002
880,862.7899779999999
881,866.4500119999999
882,874.0200199999999
883,875.669983
884,895.7899779999999
885,864.2299800000001
886,874.73999
887,869.9500119999999
888,868.5200199999999
889,863.5
890,848.179993
891,858.4799800000001
892,880.900024
893,876.4500119999999
894,878.849976
895,879.929993
896,878.2899779999999
897,865.98999
898,871.580017
899,868.2999880000001
