trade_date,close,predict
17/6/2013,[1626.72998],[1810.1446533203125]
18/6/2013,[1639.040039],[1811.036865234375]
19/6/2013,[1651.810059],[1817.705322265625]
20/6/2013,[1628.930054],[1821.7626953125]
21/6/2013,[1588.189941],[1811.528564453125]
24/6/2013,[1592.430054],[1780.4249267578125]
25/6/2013,[1573.089966],[1766.001953125]
26/6/2013,[1588.030029],[1755.9215087890625]
27/6/2013,[1603.26001],[1768.8961181640625]
28/6/2013,[1613.199951],[1778.789794921875]
1/7/2013,[1606.280029],[1788.25146484375]
2/7/2013,[1614.959961],[1779.9521484375]
3/7/2013,[1614.079956],[1791.3323974609375]
5/7/2013,[1615.410034],[1790.2374267578125]
8/7/2013,[1631.890015],[1802.5096435546875]
9/7/2013,[1640.459961],[1813.9107666015625]
10/7/2013,[1652.319946],[1811.9893798828125]
11/7/2013,[1652.619995],[1825.21826171875]
12/7/2013,[1675.02002],[1824.269775390625]
15/7/2013,[1680.189941],[1832.38916015625]
16/7/2013,[1682.5],[1831.2706298828125]
17/7/2013,[1676.26001],[1836.498046875]
18/7/2013,[1680.910034],[1827.8001708984375]
19/7/2013,[1689.369995],[1833.560546875]
22/7/2013,[1692.089966],[1837.2840576171875]
23/7/2013,[1695.530029],[1838.48828125]
24/7/2013,[1692.390015],[1843.312744140625]
25/7/2013,[1685.939941],[1844.0220947265625]
26/7/2013,[1690.25],[1840.59619140625]
29/7/2013,[1691.6500239999998],[1841.8800048828125]
30/7/2013,[1685.3299559999998],[1845.23388671875]
31/7/2013,[1685.959961],[1844.4073486328125]
1/8/2013,[1685.72998],[1844.4293212890625]
2/8/2013,[1706.869995],[1841.2880859375]
5/8/2013,[1709.6700440000002],[1853.717041015625]
6/8/2013,[1707.140015],[1857.431396484375]
7/8/2013,[1697.369995],[1859.3907470703125]
8/8/2013,[1690.910034],[1852.1070556640625]
9/8/2013,[1697.47998],[1849.8260498046875]
12/8/2013,[1691.4200440000002],[1853.0423583984375]
13/8/2013,[1689.469971],[1851.102783203125]
14/8/2013,[1694.160034],[1852.4166259765625]
15/8/2013,[1685.390015],[1852.603759765625]
16/8/2013,[1661.319946],[1849.2037353515625]
19/8/2013,[1655.829956],[1834.70263671875]
20/8/2013,[1646.060059],[1830.7308349609375]
21/8/2013,[1652.349976],[1825.1746826171875]
22/8/2013,[1642.800049],[1829.0345458984375]
23/8/2013,[1656.959961],[1825.0660400390625]
26/8/2013,[1663.5],[1833.8629150390625]
27/8/2013,[1656.780029],[1838.12451171875]
28/8/2013,[1630.47998],[1836.83642578125]
29/8/2013,[1634.959961],[1819.9581298828125]
30/8/2013,[1638.170044],[1821.5087890625]
3/9/2013,[1632.969971],[1825.62158203125]
4/9/2013,[1639.77002],[1822.5477294921875]
5/9/2013,[1653.079956],[1822.2305908203125]
6/9/2013,[1655.079956],[1826.4178466796875]
9/9/2013,[1655.170044],[1829.281982421875]
10/9/2013,[1671.709961],[1827.14892578125]
11/9/2013,[1683.9899899999998],[1834.7196044921875]
12/9/2013,[1689.130005],[1838.1470947265625]
13/9/2013,[1683.4200440000002],[1844.569091796875]
16/9/2013,[1687.9899899999998],[1840.0576171875]
17/9/2013,[1697.5999760000002],[1846.28564453125]
18/9/2013,[1704.7600100000002],[1853.34375]
19/9/2013,[1725.52002],[1857.385009765625]
20/9/2013,[1722.339966],[1863.6324462890625]
23/9/2013,[1709.910034],[1863.4107666015625]
24/9/2013,[1701.839966],[1849.7230224609375]
25/9/2013,[1697.4200440000002],[1847.2664794921875]
26/9/2013,[1692.77002],[1845.1307373046875]
27/9/2013,[1698.6700440000002],[1846.507080078125]
30/9/2013,[1691.75],[1851.52001953125]
1/10/2013,[1681.550049],[1846.9591064453125]
2/10/2013,[1695.0],[1843.7589111328125]
3/10/2013,[1693.869995],[1851.1470947265625]
4/10/2013,[1678.660034],[1848.4329833984375]
7/10/2013,[1690.5],[1841.3243408203125]
8/10/2013,[1676.119995],[1849.9503173828125]
9/10/2013,[1655.449951],[1842.2032470703125]
10/10/2013,[1656.400024],[1832.6845703125]
11/10/2013,[1692.560059],[1831.39208984375]
